#==========================================
# DAT-FILE for the MCM + C3.0m mechanism
# to be computed by SPACCIM
# Extended by the automated output
# from FSGv1.1 within GECKO-A
# created: 2012-10-12, 14:51
#==========================================                                                                             
   BEGIN_DATAGAS                                                                                                        
#===  ONLY 120 Characters per Line                                                                                      
#------------------------------------------                                                                             
#  Name                                                                                        MolMass  Alpha Dg        
#                                                                                              [g/mol]                  
#                                                                                                                       
CC(=O)C(C)CO                                                                                     102.1  0.10  0.00000785
CC(O)C(=O)C                                                                                       88.1  0.10  0.00000869
CC(=O)C(C)C=O                                                                                    100.1  0.10  0.00000799
CC(CO)C(=O)C=O                                                                                   116.1  0.10  0.00000770
CC(CO)C(=O)CO                                                                                    118.1  0.10  0.00000758
CC(=O)C(CO)C=O                                                                                   116.1  0.10  0.00000770
CC(=O)C(CO)CO                                                                                    118.1  0.10  0.00000758
CC(=O)C(=O)CO                                                                                    102.1  0.10  0.00000848
CC(CO)C(=O)O                                                                                     104.1  0.10  0.00000832
CC(=O)C(O)CO                                                                                     104.1  0.10  0.00000832
CC(=O)C(O)C=O                                                                                    102.1  0.10  0.00000848
CC(O)C(=O)C=O                                                                                    102.1  0.10  0.00000848
CC(O)C(=O)CO                                                                                     104.1  0.10  0.00000832
CC(O)C(=O)O                                                                                       90.1  0.10  0.00000931
CC(=O)C(C)C(O)O                                                                                  118.1  0.10  0.00000758
CC(C=O)C(=O)C=O                                                                                  114.1  0.10  0.00000783
OCC(=O)C(C)C=O                                                                                   116.1  0.10  0.00000770
CC(=O)C(C=O)C=O                                                                                  114.1  0.10  0.00000783
CC(=O)C(C)C(=O)O                                                                                 116.1  0.10  0.00000770
CC(C(=O)O)C=O                                                                                    102.1  0.10  0.00000848
CC(=O)C(=O)C=O                                                                                   100.1  0.10  0.00000865
CC(O)O                                                                                            62.1  0.10  0.00001120
OCC(O)O                                                                                           78.1  0.10  0.00001044
CC(O)(O)C(=O)C                                                                                   104.1  0.10  0.00000832
CC(=O)C(O)O                                                                                       90.1  0.10  0.00000931
OCC(=O)C(C)C(O)O                                                                                 134.1  0.10  0.00000734
CC(=O)C(CO)C(O)O                                                                                 134.1  0.10  0.00000734
OCC(=O)C(CO)CO                                                                                   134.1  0.10  0.00000734
CC(CO)C(=O)C(O)O                                                                                 134.1  0.10  0.00000734
CC(O)C(=O)C(O)O                                                                                  120.1  0.10  0.00000801
CC(=O)C(O)C(O)O                                                                                  120.1  0.10  0.00000801
CC(=O)C(O)(O)CO                                                                                  120.1  0.10  0.00000801
CC(O)(O)C(=O)CO                                                                                  120.1  0.10  0.00000801
OCC(O)C(=O)CO                                                                                    120.1  0.10  0.00000801
OCC(=O)CO                                                                                         90.1  0.10  0.00000931
CC(=O)C(=O)C(O)O                                                                                 118.1  0.10  0.00000816
OCC(=O)C(=O)CO                                                                                   118.1  0.10  0.00000816
OC(O)C=O                                                                                          76.0  0.10  0.00001075
CC(=O)C(C(O)O)C=O                                                                                132.1  0.10  0.00000746
CC(C(O)O)C(=O)C=O                                                                                132.1  0.10  0.00000746
OCC(=O)C(CO)C=O                                                                                  132.1  0.10  0.00000746
OCC(CO)C(=O)C=O                                                                                  132.1  0.10  0.00000746
OCC(=O)C(O)C=O                                                                                   118.1  0.10  0.00000816
OCC(O)C(=O)C=O                                                                                   118.1  0.10  0.00000816
OCC(=O)C(=O)C=O                                                                                  116.1  0.10  0.00000831
OCC(=O)C=O                                                                                        88.1  0.10  0.00000954
OCC(=O)C(C=O)C=O                                                                                 130.1  0.10  0.00000757
O=CC(=O)C(C=O)C=O                                                                                128.1  0.10  0.00000770
OCC(C=O)C(=O)C=O                                                                                 130.1  0.10  0.00000757
O=CC(=O)C(=O)C=O                                                                                 114.1  0.10  0.00000847
O=CC(=O)C=O                                                                                       86.0  0.10  0.00000978
CC(C(O)O)C(=O)O                                                                                  120.1  0.10  0.00000801
OCC(CO)C(=O)O                                                                                    120.1  0.10  0.00000801
OCC(O)C(=O)O                                                                                     106.1  0.10  0.00000889
CC(=O)C(CO)C(=O)O                                                                                132.1  0.10  0.00000746
CC(CO)C(=O)C(=O)O                                                                                132.1  0.10  0.00000746
OCC(=O)C(C)C(=O)O                                                                                132.1  0.10  0.00000746
CC(O)C(=O)C(=O)O                                                                                 118.1  0.10  0.00000816
CC(=O)C(=O)C(=O)O                                                                                116.1  0.10  0.00000831
CC(=O)C(O)C(=O)O                                                                                 118.1  0.10  0.00000816
CC(=O)C(C(=O)O)C=O                                                                               130.1  0.10  0.00000757
O=C(O)C(=O)C(C)C=O                                                                               130.1  0.10  0.00000757
CC(C(=O)O)C(=O)C=O                                                                               130.1  0.10  0.00000757
O=C(O)C(C=O)C=O                                                                                  116.1  0.10  0.00000831
OCC(C(=O)O)C=O                                                                                   118.1  0.10  0.00000816
O=C(O)C(=O)C=O                                                                                   102.0  0.10  0.00000930
O=C(O)C(O)C=O                                                                                    104.1  0.10  0.00000909
CC(C(=O)O)C(=O)O                                                                                 118.1  0.10  0.00000816
CC(O)C(O)O                                                                                        92.1  0.10  0.00000910
CC(O)CO                                                                                           76.1  0.10  0.00000960
OCC(=O)C(O)O                                                                                     106.1  0.10  0.00000889
OCC(=O)C(=O)C(O)O                                                                                134.1  0.10  0.00000788
CC(O)(O)C=O                                                                                       90.1  0.10  0.00000931
CC(O)C(O)(O)C=O                                                                                  120.1  0.10  0.00000801
CC(O)C=O                                                                                          74.1  0.10  0.00000984
OCC(O)(O)C=O                                                                                     106.1  0.10  0.00000889
OC(O)C(=O)C(C)C=O                                                                                132.1  0.10  0.00000746
OC(O)C(=O)C(CO)C=O                                                                               148.1  0.10  0.00000724
OCC(C(O)O)C(=O)C=O                                                                               148.1  0.10  0.00000724
OCC(=O)C(C(O)O)C=O                                                                               148.1  0.10  0.00000724
OC(O)C(=O)C(=O)C=O                                                                               132.1  0.10  0.00000802
OCC(=O)C(O)(O)C=O                                                                                134.1  0.10  0.00000788
OCC(O)(O)C(=O)C=O                                                                                134.1  0.10  0.00000788
OC(O)C(O)C(=O)C=O                                                                                134.1  0.10  0.00000788
OC(O)C(=O)C(O)C=O                                                                                134.1  0.10  0.00000788
CC(O)(O)C(=O)C=O                                                                                 118.1  0.10  0.00000816
CC(=O)C(O)(O)C=O                                                                                 118.1  0.10  0.00000816
OC(O)C(=O)C=O                                                                                    104.1  0.10  0.00000909
OC(O)C(C=O)C(=O)C=O                                                                              146.1  0.10  0.00000735
CC(O)(O)C(=O)O                                                                                   106.1  0.10  0.00000889
OC(O)C(=O)O                                                                                       92.0  0.10  0.00001012
CC(O)(O)C(O)C(=O)O                                                                               136.1  0.10  0.00000775
CC(O)C(O)(O)C(=O)O                                                                               136.1  0.10  0.00000775
OCC(O)(O)C(=O)O                                                                                  122.1  0.10  0.00000854
OC(O)C(O)C(=O)O                                                                                  122.1  0.10  0.00000854
OCC(CO)C(=O)C(=O)O                                                                               148.1  0.10  0.00000724
OCC(=O)C(CO)C(=O)O                                                                               148.1  0.10  0.00000724
CC(C(O)O)C(=O)C(=O)O                                                                             148.1  0.10  0.00000724
OC(O)C(=O)C(C)C(=O)O                                                                             148.1  0.10  0.00000724
OCC(=O)C(=O)C(=O)O                                                                               132.1  0.10  0.00000802
OCC(O)C(=O)C(=O)O                                                                                134.1  0.10  0.00000788
OCC(=O)C(O)C(=O)O                                                                                134.1  0.10  0.00000788
CC(=O)C(O)(O)C(=O)O                                                                              134.1  0.10  0.00000788
OC(O)C(=O)C(=O)O                                                                                 120.1  0.10  0.00000871
O=C(O)C(=O)C(CO)C=O                                                                              146.1  0.10  0.00000735
OCC(C(=O)O)C(=O)C=O                                                                              146.1  0.10  0.00000735
O=C(O)C(C=O)C(=O)C=O                                                                             144.1  0.10  0.00000747
O=C(O)C(=O)C(C=O)C=O                                                                             144.1  0.10  0.00000747
OCC(=O)C(C(=O)O)C=O                                                                              146.1  0.10  0.00000735
O=C(O)C(O)(O)C(C)C=O                                                                             148.1  0.10  0.00000724
O=C(O)C(=O)C(O)C=O                                                                               132.1  0.10  0.00000802
O=C(O)C(O)C(=O)C=O                                                                               132.1  0.10  0.00000802
O=C(O)C(=O)C(=O)C=O                                                                              130.1  0.10  0.00000817
CC(C(=O)O)C(=O)C(=O)O                                                                            146.1  0.10  0.00000735
CC(=O)C(C(=O)O)C(=O)O                                                                            146.1  0.10  0.00000735
O=C(O)C(C(=O)O)C=O                                                                               132.1  0.10  0.00000802
OCC(C(=O)O)C(=O)O                                                                                134.1  0.10  0.00000788
O=C(O)C(O)C(=O)O                                                                                 120.1  0.10  0.00000871
O=C(O)C(=O)C(=O)O                                                                                118.0  0.10  0.00000890
O=C(O)C(=O)O                                                                                      90.0  0.10  0.00001041
OCC(O)CO                                                                                          92.1  0.10  0.00000910
OCC(O)C=O                                                                                         90.1  0.10  0.00000931
OC(O)C(O)C=O                                                                                     106.1  0.10  0.00000889
O=CC(O)(O)C(=O)C=O                                                                               132.1  0.10  0.00000802
O=CC(O)C(O)(O)C=O                                                                                134.1  0.10  0.00000788
O=CC(O)(O)C(O)(O)C=O                                                                             150.1  0.10  0.00000764
O=CC(O)C=O                                                                                        88.1  0.10  0.00000954
O=CC(O)(O)C=O                                                                                    104.1  0.10  0.00000909
CC(O)(O)C(=O)C(=O)O                                                                              134.1  0.10  0.00000788
CC(C(=O)O)C(O)(O)C=O                                                                             148.1  0.10  0.00000724
O=C(O)C(O)(O)C(=O)C=O                                                                            148.1  0.10  0.00000777
O=C(O)C(O)(O)C(O)C=O                                                                             150.1  0.10  0.00000764
O=C(O)C(O)C(O)(O)C=O                                                                             150.1  0.10  0.00000764
